BCP47	Language	ISO-639	Resource_Level	RL_Rationale	Inclusive_code	script
ar	Arabic (MSA)	arb	4	20+ countries of use, 250m L2, use tied heavily to Islam		Arab
en	English	eng	4	Global Lingua Franca		Latn
fr	French	fra	4	30+ countries of use, 200m+ L2, Africa		Latn
hi	Hindi	hin	4	Regional LF use (1-5 countries), 200m L2		Deva
id	Indonesian	ind	4	Regional LF use (1-5 countries), 200m L2		Latn
zh	Mandarin	cmn	4	Regional LF use (1-5 countries), 200m L2, emerging Sinosphere		Hans, Hant
pt	Portuguese	por	4	10+ countries of use, 25m+ L2, Colonial spread		Latn
ru	Russian	rus	4	10+ countries of use, 100m+ L2, Soviet spread		Cyrl
es	Spanish	spa	4	20+ countries of use, 80m+ L2, S America		Latn
sw	Swahili	swh	4	Regional LF use (1-5 countries), 100m L2+, growing stability and use	checked	Latn
am	Amharic	amh	3	National, primacy, 20m+ L2		Ethi
as	Assamese	asm	3	Regional primary LWC in NE India, recognized status, 8m L2		Beng
bn	Bengali	ben	3	Supranational, anchor for Bengalis, 30m + L2		Beng
my	Burmese	mya	3	National, primacy, 10m+ L2		Mymr
fa	Farsi	pes	3	Supranational, primacy, anchor for Iranian branch, ~35m L2		Aran
ha	Hausa	hau	3	Supranational, National language status, 50m+ L2		Latn
lo	Lao	lao	3	National, primacy, ~1m L2, 20m+ Isan in Thailand		Laoo
ln	Lingala	lin	3	Regional, primacy, +developing status, 20m+ L2		Latn
ms	Malay	msa	3	National, primacy, enough differentiaion from Indonesian	checked	Latn
ne	Nepali	nep	3	National, primacy, ~10m L2	checked	Deva
tl	Tagalog	tgl	3	National, primacy, 50m+ L2		Latn
th	Thai	tha	3	National, primacy, 40m+ L2		Thai
tpi	Tok Pisin	tpi	3	National / Supranational, primacy, 800 dependent OLs, 4m L2, standardized and official		Latn
tr	Turkish	tur	3	Supranational, primacy anchor for Turkic branch, ~8m L2		Latn
ur	Urdu	urd	3	Supranational, anchor for Subcontinental Muslims with arabic script, 100m+ L2		Arab
vi	Vietnamese	vie	3	National, primacy, ~1m L2		Latn
af	Afrikaans	afr	2	Supranational, 10m+ L2, secondary, supplemental value to English		Latn
ak	Akan	aka	2	LF in Ghana with a potential 81 connected OLs and 10m L2, supplemental to English		Latn
arq	Arabic, Algerian	arq	2	"Large regional LWC but secondary to MSA + French, also similar to Moroccan Arabic, Low OL dependency. Still might be helpful as a source text because the population and % use is quite high in Algeria
"		Arab
shu	Arabic, Chadian	shu	2	Midsize Regional LWC, 6m L2, secondary to both French and MSA, huge OL count though (130), high supplemental value		Arab
arz	Arabic, Egyptian	arz	2	Large speaker base, unknown L2, but widespread supranatinoally through media and film. I see evidence for existing Egyptian Arabic Bible despite PB listing no, high supplemental value		Arab
acm	Arabic, Mesopotamian	acm	2	No listed L2 but that's not true, 30m+ speakers though, and no Bible text. Still could be potential RL2 one day. Borderline RL 1/2		Arab
ary	Arabic, Moroccan	ary	2	Large speaker base with ~5m L2, need a full Bible though, but high supplemental value to MSA + French		Arab
ajp	Arabic, South Levantine	ajp	2	Potentially valuable as RL2, wide speaker base and standardized Syrian script. Borderline RL1/2.		Arab
apd	Arabic, Sudanese	apd	2	Large speaker base with ~9m L2, need a full Bible though, but high supplemental value to MSA + English		Arab
ay	Aymara	aym	2	Potentially supplemental for Bolivia	checked	Latn
az	Azerbaijani	aze	2	Supranational, 8m+ L2, secondary, supplemental value to Turkish + Farsi	checked	Latn
bm	Bambara	bam	2	Supranational, 15m+ L2, high translational value, limited written tradition, supplemental to French		Latn
bem	Bemba	bem	2	LWC of Zambia, unsure of supplemental potential to English but there are enough languages within its sphere and existing translation to consider RL 2		Latn
bho	Bhojpuri	bho	2	Regional LWC in India, high L2 but no official status, similar to Hindi, but supplemental value		Deva
bi	Bislama	bis	2	"110 OL connections but secondary to French and even Tok Pisin derivative. Probably helpful supplemental value
"		Latn
ceb	Cebuano	ceb	2	"Regional status in Philippines, but secondary to English and Filipino, questionable supplemental value, but enough languages behind it and a relatively high and prestigious role
"		Latn
ny	Chichewa	nya	2	Official language of Malawi / National language of Zambia, unknown L2. supplemental value to English		Latn
hak	Chinese, Hakka	hak	2	"large Regional LWC S China. Unsure supplemental potential, but there is potential as it is used on Taiwan and Southeastern China and is mutually unintelligible to 
Min Nan [nan]

"		Hans
nan	Chinese, Min Nan	nan	2	Taiwanese potentially useful to the 23 OLs, but Mandarin also reasonably prevalent. Borderline RL 1/2		Hans
wuu	Chinese, Wu	wuu	2	Large Regional LWC E China. Unsure supplemental potential. Bible is from 1914, but there are 2 unstarted AAGs of ~10 mil behind it		Hans
hsn	Chinese, Xiang	hsn	2	"Large Regional LWC S China. Unsure supplemental potential, but include at RL 2 for the languages behind it, though no Scripture exists yet

"		Hans
yue	Chinese, Yue	yue	2	"Large Regional LWC SE China. Unsure supplemental potential, but Scripture does exist. Keep at RL 2, supplemental
"		Hans
za	Chinese, Zhuang	zha	2	"Regional LWC S China. Supplemental potential, inclusive code on a dialect continuum
"	checked	Hans
prs	Dari	prs	2	National language, few Christians, but 30 dependent OLs in Afghanistan, has translational value, near primacy, but supplemental to Farsi		Aran
nl	Dutch	nld	2	Supranational, 3m L2, secondary, supplemental value to English + French in Carribean		Latn
ee	Ewe	ewe	2	Large Regional LWC Togo/Ghana, high L2 potental, supplemental value to French		Latn
