NA27	LEB
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Δαυὶδ	David
Δαυὶδ	of
Ἀβραάμ	Abraham
Ἀβραάμ	of
Ἀβραὰμ	Abraham
Ἰσαάκ	Isaac
Ἰσαὰκ	Isaac
Ἰακώβ	Jacob
Ἰακὼβ	Jacob
Ἰούδαν	Judah
Ἰούδας	Judah
Φάρες	Perez
Ζάρα	Zerah
Θαμάρ	Tamar
Φάρες	Perez
Ἑσρώμ	Hezron
Ἑσρὼμ	Hezron
Ἀράμ	Aram
Ἀρὰμ	Aram
Ἀμιναδάβ	Amminadab
Ἀμιναδὰβ	Amminadab
Ναασσών	Nahshon
Ναασσὼν	Nahshon
Σαλμών	Salmon
Σαλμὼν	Salmon
Βόες	Boaz
Ῥαχάβ	Rahab
Βόες	Boaz
Ἰωβὴδ	Obed
Ῥούθ	Ruth
Ἰωβὴδ	Obed
Ἰεσσαί	Jesse
Ἰεσσαὶ	Jesse
Δαυὶδ	David
Δαυὶδ	David
Σολομῶνα	Solomon
Οὐρίου	Uriah
Οὐρίου	of
Σολομὼν	Solomon
Ῥοβοάμ	Rehoboam
Ῥοβοὰμ	Rehoboam
Ἀβιά	Abijah
Ἀβιὰ	Abijah
Ἀσάφ	Asa
Ἀσὰφ	Asa
Ἰωσαφάτ	Jehoshaphat
Ἰωσαφὰτ	Jehoshaphat
Ἰωράμ	Joram
Ἰωρὰμ	Joram
Ὀζίαν	Uzziah
Ὀζίας	Uzziah
Ἰωαθάμ	Jotham
Ἰωαθὰμ	Jotham
Ἀχάζ	Ahaz
Ἀχὰζ	Ahaz
Ἑζεκίαν	Hezekiah
Ἑζεκίας	Hezekiah
Μανασσῆ	Manasseh
Μανασσῆς	Manasseh
Ἀμώς	Amon
Ἀμὼς	Amon
Ἰωσίαν	Josiah
Ἰωσίας	Josiah
Ἰεχονίαν	Jechoniah
Βαβυλῶνος	Babylon
Βαβυλῶνος	to
Βαβυλῶνος	Babylon
Βαβυλῶνος	to
Ἰεχονίας	Jechoniah
Σαλαθιήλ	Shealtiel
Σαλαθιὴλ	Shealtiel
Ζοροβαβέλ	Zerubbabel
Ζοροβαβὲλ	Zerubbabel
Ἀβιούδ	Abiud
Ἀβιοὺδ	Abiud
Ἐλιακίμ	Eliakim
Ἐλιακὶμ	Eliakim
Ἀζώρ	Azor
Ἀζὼρ	Azor
Σαδώκ	Zadok
Σαδὼκ	Zadok
Ἀχίμ	Achim
Ἀχὶμ	Achim
Ἐλιούδ	Eliud
Ἐλιοὺδ	Eliud
Ἐλεάζαρ	Eleazar
Ἐλεάζαρ	Eleazar
Ματθάν	Matthan
Ματθὰν	Matthan
Ἰακώβ	Jacob
Ἰακὼβ	Jacob
Ἰωσὴφ	Joseph
Μαρίας	Mary
Μαρίας	of
Ἰησοῦς	Jesus
Χριστός	Christ
Ἀβραὰμ	Abraham
Δαυὶδ	David
Δαυὶδ	David
Βαβυλῶνος	Babylon
Βαβυλῶνος	to
Βαβυλῶνος	Babylon
Βαβυλῶνος	to
Χριστοῦ	Christ
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Μαρίας	Mary
Ἰωσήφ	Joseph
Ἰωσήφ	to
Ἰωσὴφ	Joseph
Ἰωσὴφ	Joseph
Δαυίδ	David
Δαυίδ	of
Μαρίαν	Mary
Ἰησοῦν	Jesus
Ἐμμανουήλ	Emmanuel
Ἰωσὴφ	Joseph
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Βηθλέεμ	Bethlehem
Ἰουδαίας	Judea
Ἰουδαίας	of
Ἡρῴδου	Herod
Ἡρῴδου	of
Ἱεροσόλυμα	Jerusalem
