NA27	NET
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Δαυὶδ	David
Δαυὶδ	of
Ἀβραάμ	Abraham
Ἀβραάμ	of
Ἀβραὰμ	Abraham
Ἰσαάκ	Isaac
Ἰσαὰκ	Isaac
Ἰακώβ	Jacob
Ἰακὼβ	Jacob
Ἰούδαν	Judah
Ἰούδας	Judah
Ζάρα	Zerah
Θαμάρ	Tamar
Ἀράμ	Ram
Ἀρὰμ	Ram
Σαλμών	Salmon
Σαλμὼν	Salmon
Ῥαχάβ	Rahab
Ῥούθ	Ruth
Ἰεσσαί	Jesse
Ἰεσσαὶ	Jesse
Δαυὶδ	David
Σολομῶνα	Solomon
Οὐρίου	Uriah
Οὐρίου	of
Σολομὼν	Solomon
Ἀσάφ	Asa
Ἀσὰφ	Asa
Ὀζίαν	Uzziah
Ὀζίας	Uzziah
Ἑζεκίαν	Hezekiah
Ἑζεκίας	Hezekiah
Ἰωσίαν	Josiah
Ἰωσίας	Josiah
Βαβυλῶνος	Babylon
Βαβυλῶνος	to
Βαβυλῶνος	Babylon
Βαβυλῶνος	to
Ζοροβαβέλ	Zerubbabel
Ζοροβαβὲλ	Zerubbabel
Ἀζώρ	Azor
Ἀζὼρ	Azor
Ἐλιούδ	Eliud
Ἐλιοὺδ	Eliud
Ἰακώβ	Jacob
Ἰακὼβ	Jacob
Ἰωσὴφ	Joseph
Μαρίας	Mary
Μαρίας	of
Ἰησοῦς	Jesus
Χριστός	Christ
Ἀβραὰμ	Abraham
Δαυὶδ	David
Βαβυλῶνος	Babylon
Βαβυλῶνος	to
Βαβυλῶνος	Babylon
Βαβυλῶνος	to
Χριστοῦ	Christ
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Μαρίας	Mary
Ἰωσήφ	Joseph
Ἰωσήφ	to
Ἰωσὴφ	Joseph
Ἰωσὴφ	Joseph
Δαυίδ	David
Δαυίδ	of
Μαρίαν	Mary
Ἰησοῦν	Jesus
Ἰωσὴφ	Joseph
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Βηθλέεμ	Bethlehem
Ἰουδαίας	Judea
Ἰουδαίας	in
Ἡρῴδου	Herod
Ἡρῴδου	of
Ἱεροσόλυμα	Jerusalem
Ἡρῴδης	Herod
Ἱεροσόλυμα	Jerusalem
χριστὸς	Christ
Βηθλέεμ	Bethlehem
Ἰουδαίας	Judea
Ἰουδαίας	of
Βηθλέεμ	Bethlehem
Ἰούδα	Judah
Ἰούδα	of
Ἰούδα	Judah
Ἰούδα	of
Ἰσραήλ	Israel
Ἡρῴδης	Herod
Βηθλέεμ	Bethlehem
Μαρίας	Mary
Ἡρῴδην	Herod
Ἰωσὴφ	Joseph
Ἰωσὴφ	to
Αἴγυπτον	Egypt
Ἡρῴδης	Herod
Αἴγυπτον	Egypt
Ἡρῴδου	Herod
Αἰγύπτου	Egypt
Ἡρῴδης	Herod
Βηθλέεμ	Bethlehem
Ἰερεμίου	Jeremiah
Ῥαμὰ	Ramah
Ῥαχὴλ	Rachel
Ἡρῴδου	Herod
Ἰωσὴφ	Joseph
Ἰωσὴφ	to
Αἰγύπτῳ	Egypt
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἀρχέλαος	Archelaus
Ἰουδαίας	Judea
Ἡρῴδου	Herod
Γαλιλαίας	Galilee
Γαλιλαίας	of
Ναζαρέτ	Nazareth
Ναζωραῖος	Nazarene
Ναζωραῖος	a
Ἰωάννης	John
Ἰουδαίας	Judea
Ἰουδαίας	of
Ἠσαΐου	Isaiah
Ἰωάννης	John
Ἱεροσόλυμα	Jerusalem
Ἰουδαία	Judea
