NA27	CUVMP
Ἰησοῦ	耶稣
Χριστοῦ	基督
Χριστοῦ	的
Δαυὶδ	大卫
Δαυὶδ	的
Ἀβραάμ	亚伯拉罕
Ἀβραάμ	的
Ἀβραὰμ	亚伯拉罕
Ἰσαάκ	以撒
Ἰσαὰκ	以撒
Ἰακώβ	雅各
Ἰακὼβ	雅各
Ἰούδαν	犹大
Ἰούδας	犹大
Φάρες	法勒斯
Ζάρα	谢拉
Θαμάρ	她玛
Θαμάρ	氏
Φάρες	法勒斯
Ἑσρώμ	希斯仑
Ἑσρὼμ	希斯仑
Ἀράμ	亚兰
Ἀρὰμ	亚兰
Ἀμιναδάβ	亚米拿达
Ἀμιναδὰβ	亚米拿达
Ναασσών	拿顺
Ναασσὼν	拿顺
Σαλμών	撒门
Σαλμὼν	撒门
Βόες	波阿斯
Ῥαχάβ	喇合
Ῥαχάβ	氏
Βόες	波阿斯
Ἰωβὴδ	俄备得
Ῥούθ	路得
Ῥούθ	氏
Ἰωβὴδ	俄备得
Ἰεσσαί	耶西
Ἰεσσαὶ	耶西
Δαυὶδ	大卫
Δαυὶδ	大卫
Σολομῶνα	所罗门
Οὐρίου	乌利亚
Οὐρίου	的
Σολομὼν	所罗门
Ῥοβοάμ	罗波安
Ῥοβοὰμ	罗波安
Ἀβιά	亚比雅
Ἀβιὰ	亚比雅
Ἀσάφ	亚撒
Ἀσὰφ	亚撒
Ἰωσαφάτ	约沙法
Ἰωσαφὰτ	约沙法
Ἰωράμ	约兰
Ἰωρὰμ	约兰
Ὀζίαν	乌西亚
Ὀζίας	乌西亚
Ἰωαθάμ	约坦
Ἰωαθὰμ	约坦
Ἀχάζ	亚哈斯
Ἀχὰζ	亚哈斯
Ἑζεκίαν	希西家
Ἑζεκίας	希西家
Μανασσῆ	玛拿西
Μανασσῆς	玛拿西
Ἀμώς	亚们
Ἀμὼς	亚们
Ἰωσίαν	约西亚
Ἰωσίας	约西亚
Ἰεχονίαν	耶哥尼雅
Βαβυλῶνος	巴比伦
Βαβυλῶνος	巴比伦
Ἰεχονίας	耶哥尼雅
Σαλαθιήλ	撒拉铁
Σαλαθιὴλ	撒拉铁
Ζοροβαβέλ	所罗巴伯
Ζοροβαβὲλ	所罗巴伯
Ἀβιούδ	亚比玉
Ἀβιοὺδ	亚比玉
Ἐλιακίμ	以利亚敬
Ἐλιακὶμ	以利亚敬
Ἀζώρ	亚所
Ἀζὼρ	亚所
Σαδώκ	撒督
Σαδὼκ	撒督
Ἀχίμ	亚金
Ἀχὶμ	亚金
Ἐλιούδ	以律
Ἐλιοὺδ	以律
Ἐλεάζαρ	以利亚撒
Ἐλεάζαρ	以利亚撒
Ματθάν	马但
Ματθὰν	马但
Ἰακώβ	雅各
Ἰακὼβ	雅各
Ἰωσὴφ	约瑟
Μαρίας	马利亚
Μαρίας	的
Ἰησοῦς	耶稣
Χριστός	基督
Ἀβραὰμ	亚伯拉罕
Δαυὶδ	大卫
Δαυὶδ	大卫
Βαβυλῶνος	巴比伦
Βαβυλῶνος	巴比伦
Χριστοῦ	基督
Ἰησοῦ	耶稣
Χριστοῦ	基督
Μαρίας	马利亚
Ἰωσήφ	约瑟
Ἰωσὴφ	约瑟
Ἰωσὴφ	约瑟
Δαυίδ	大卫
Δαυίδ	的
Μαρίαν	马利亚
Ἰησοῦν	耶稣
Ἐμμανουήλ	以马内利
Ἰωσὴφ	约瑟
Ἰησοῦν	耶稣
Ἰησοῦ	耶稣
Βηθλέεμ	伯利恒
Ἰουδαίας	犹太
Ἰουδαίας	的
Ἡρῴδου	希律
Ἱεροσόλυμα	耶路撒冷
Ἡρῴδης	希律
Ἱεροσόλυμα	耶路撒冷
Ἱεροσόλυμα	城
Ἱεροσόλυμα	的
Ἱεροσόλυμα	人
χριστὸς	基督
Βηθλέεμ	伯利恒
Ἰουδαίας	犹太
Ἰουδαίας	的
Βηθλέεμ	伯利恒
Βηθλέεμ	啊
Ἰούδα	犹大
Ἰούδα	犹大
Ἰσραήλ	以色列
Ἡρῴδης	希律
Βηθλέεμ	伯利恒
Μαρίας	马利亚
Ἡρῴδην	希律
Ἰωσὴφ	约瑟
Ἰωσὴφ	向
Αἴγυπτον	埃及
Ἡρῴδης	希律
Αἴγυπτον	埃及
Ἡρῴδου	希律
Αἰγύπτου	埃及
Ἡρῴδης	希律
Βηθλέεμ	伯利恒
Βηθλέεμ	城
Ἰερεμίου	耶利米
Ῥαμὰ	拉玛
Ῥαχὴλ	拉结
Ἡρῴδου	希律
Ἰωσὴφ	约瑟
Ἰωσὴφ	向
Αἰγύπτῳ	埃及
Ἰσραήλ	以色列
Ἰσραήλ	以色列
Ἀρχέλαος	亚基老
Ἰουδαίας	犹太
Ἡρῴδου	希律
Γαλιλαίας	加利利
Ναζαρέτ	拿撒勒
Ναζωραῖος	拿撒勒
Ναζωραῖος	人
Ἰωάννης	约翰
Ἰωάννης	有
Ἰουδαίας	犹太
Ἰουδαίας	的
Ἠσαΐου	以赛亚
Ἰωάννης	约翰
Ἱεροσόλυμα	耶路撒冷
Ἰουδαία	犹太
Ἰουδαία	地
Ἰορδάνου	约旦
Ἰορδάνου	河
Ἰορδάνῃ	约旦
Φαρισαίων	法利赛
Φαρισαίων	人
Σαδδουκαίων	撒都该
Σαδδουκαίων	人
Ἀβραάμ	亚伯拉罕
Ἀβραάμ	亚伯拉罕
Ἀβραάμ	给
Ἰησοῦς	耶稣
Γαλιλαίας	加利利
Ἰορδάνην	约旦
Ἰορδάνην	河
Ἰωάννην	约翰
Ἰωάννης	约翰
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
σατανᾶ	撒旦
Ἰωάννης	约翰
Γαλιλαίαν	加利利
Ναζαρὰ	拿撒勒
Καφαρναοὺμ	迦百农
Ζαβουλὼν	西布伦
Νεφθαλίμ	拿弗他利
Νεφθαλίμ	的
Ἠσαΐου	以赛亚
Ζαβουλὼν	西布伦
Νεφθαλίμ	拿弗他利
Ἰορδάνου	约旦
Ἰορδάνου	河
Γαλιλαία	加利利
Γαλιλαία	地
Ἰησοῦς	耶稣
Γαλιλαίας	加利利
Σίμωνα	西门
Πέτρον	彼得
Ἀνδρέαν	安得烈
Ἰάκωβον	雅各
Ζεβεδαίου	西庇太
Ζεβεδαίου	的
Ἰωάννην	约翰
Ζεβεδαίου	西庇太
Γαλιλαίᾳ	加利利
Συρίαν	叙利亚
Γαλιλαίας	加利利
Δεκαπόλεως	低加波利
Ἱεροσολύμων	耶路撒冷
Ἰουδαίας	犹太
Ἰορδάνου	约旦
Ἰορδάνου	河
Φαρισαίων	法利赛
Φαρισαίων	人
Φαρισαίων	的
Ἱεροσόλυμα	耶路撒冷
Σολομὼν	所罗门
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Μωϋσῆς	摩西
Καφαρναοὺμ	迦百农
Ἰησοῦς	耶稣
Ἰσραὴλ	以色列
Ἀβραὰμ	亚伯拉罕
Ἰσαὰκ	以撒
Ἰακὼβ	雅各
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Πέτρου	彼得
Ἠσαΐου	以赛亚
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Μαθθαῖον	马太
Ἰησοῦ	耶稣
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Ἰωάννου	约翰
Ἰωάννου	的
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦ	耶稣
Δαυίδ	大卫
Δαυίδ	的
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰσραήλ	以色列
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Ἰησοῦς	耶稣
Σίμων	西门
Πέτρος	彼得
Ἀνδρέας	安得烈
Ἰάκωβος	雅各
